Nutrition,Unit,NutritionPer100 (g),NutritionValue,Food code
Total Fat (g),g,0.46,0.46,75140500
"Fiber, total dietary (g)",g,2.48,2.48,75140500
Energy (kcal),kcal,54.7,54.7,75140500
Protein (g),g,3.07,3.07,75140510
Carbohydrate (g),g,6.08,6.08,75140510
Total Fat (g),g,0.31,0.31,75140510
"Fiber, total dietary (g)",g,3.99,3.99,75140510
Energy (kcal),kcal,39.4,39.4,75140510
Protein (g),g,3.05,3.05,75140990
Carbohydrate (g),g,8.17,8.17,75140990
Total Fat (g),g,0.35,0.35,75140990
"Fiber, total dietary (g)",g,3.19,3.19,75140990
Energy (kcal),kcal,48.0,48.0,75140990
Protein (g),g,2.26,2.26,75141000
Carbohydrate (g),g,7.17,7.17,75141000
Total Fat (g),g,0.34,0.34,75141000
"Fiber, total dietary (g)",g,3.73,3.73,75141000
Energy (kcal),kcal,40.8,40.8,75141000
Protein (g),g,3.1,3.1,75141040
Carbohydrate (g),g,7.07,7.07,75141040
Total Fat (g),g,0.32,0.32,75141040
"Fiber, total dietary (g)",g,4.21,4.21,75141040
Energy (kcal),kcal,43.6,43.6,75141040
Protein (g),g,2.86,2.86,75141100
Carbohydrate (g),g,10.07,10.07,75141100
Total Fat (g),g,0.32,0.32,75141100
"Fiber, total dietary (g)",g,2.75,2.75,75141100
Energy (kcal),kcal,54.6,54.6,75141100
Protein (g),g,2.56,2.56,75142000
Carbohydrate (g),g,8.55,8.55,75142000
Total Fat (g),g,0.4,0.4,75142000
"Fiber, total dietary (g)",g,3.71,3.71,75142000
Energy (kcal),kcal,48.0,48.0,75142000
Protein (g),g,2.02,2.02,75142500
Carbohydrate (g),g,7.9,7.9,75142500
Total Fat (g),g,0.44,0.44,75142500
"Fiber, total dietary (g)",g,3.36,3.36,75142500
Energy (kcal),kcal,43.6,43.6,75142500
Protein (g),g,2.77,2.77,75142550
Carbohydrate (g),g,7.77,7.77,75142550
Total Fat (g),g,0.36,0.36,75142550
"Fiber, total dietary (g)",g,3.09,3.09,75142550
Energy (kcal),kcal,45.4,45.4,75142550
Protein (g),g,2.37,2.37,75142600
Carbohydrate (g),g,5.71,5.71,75142600
Total Fat (g),g,0.44,0.44,75142600
"Fiber, total dietary (g)",g,4.22,4.22,75142600
Energy (kcal),kcal,36.3,36.3,75142600
Protein (g),g,2.28,2.28,75143000
Carbohydrate (g),g,5.82,5.82,75143000
Total Fat (g),g,0.52,0.52,75143000
"Fiber, total dietary (g)",g,3.0,3.0,75143000
Energy (kcal),kcal,37.1,37.1,75143000
Protein (g),g,1.94,1.94,75143050
Carbohydrate (g),g,7.37,7.37,75143050
Total Fat (g),g,0.46,0.46,75143050
"Fiber, total dietary (g)",g,3.07,3.07,75143050
Energy (kcal),kcal,41.4,41.4,75143050
Protein (g),g,2.61,2.61,75143100
Carbohydrate (g),g,7.59,7.59,75143100
Total Fat (g),g,0.31,0.31,75143100
"Fiber, total dietary (g)",g,3.14,3.14,75143100
Energy (kcal),kcal,43.6,43.6,75143100
Protein (g),g,2.84,2.84,75143200
Carbohydrate (g),g,8.54,8.54,75143200
Total Fat (g),g,0.31,0.31,75143200
"Fiber, total dietary (g)",g,2.79,2.79,75143200
Energy (kcal),kcal,48.3,48.3,75143200
Protein (g),g,2.71,2.71,75143300
Carbohydrate (g),g,9.5,9.5,75143300
Total Fat (g),g,0.36,0.36,75143300
"Fiber, total dietary (g)",g,3.7,3.7,75143300
Energy (kcal),kcal,52.1,52.1,75143300
Protein (g),g,2.01,2.01,75143350
Carbohydrate (g),g,7.09,7.09,75143350
Total Fat (g),g,0.28,0.28,75143350
"Fiber, total dietary (g)",g,4.06,4.06,75143350
Energy (kcal),kcal,38.9,38.9,75143350
Protein (g),g,2.35,2.35,75144100
Carbohydrate (g),g,9.52,9.52,75144100
Total Fat (g),g,0.45,0.45,75144100
"Fiber, total dietary (g)",g,4.19,4.19,75144100
Energy (kcal),kcal,51.5,51.5,75144100
Protein (g),g,2.18,2.18,75145000
Carbohydrate (g),g,6.49,6.49,75145000
Total Fat (g),g,0.51,0.51,75145000
"Fiber, total dietary (g)",g,3.96,3.96,75145000
Energy (kcal),kcal,39.3,39.3,75145000
Protein (g),g,3.0,3.0,75146000
Carbohydrate (g),g,5.66,5.66,75146000
Total Fat (g),g,0.37,0.37,75146000
"Fiber, total dietary (g)",g,4.01,4.01,75146000
Energy (kcal),kcal,38.0,38.0,75146000
Protein (g),g,1.87,1.87,75147000
Carbohydrate (g),g,8.32,8.32,75147000
Total Fat (g),g,0.38,0.38,75147000
"Fiber, total dietary (g)",g,2.49,2.49,75147000
Energy (kcal),kcal,44.2,44.2,75147000
Protein (g),g,2.1,2.1,75148010
Carbohydrate (g),g,6.97,6.97,75148010
Total Fat (g),g,0.31,0.31,75148010
"Fiber, total dietary (g)",g,3.78,3.78,75148010
Energy (kcal),kcal,39.1,39.1,75148010
Protein (g),g,2.11,2.11,75200700
Carbohydrate (g),g,6.93,6.93,75200700
Total Fat (g),g,0.5,0.5,75200700
"Fiber, total dietary (g)",g,3.43,3.43,75200700
Energy (kcal),kcal,40.7,40.7,75200700
Protein (g),g,2.34,2.34,75202011
Carbohydrate (g),g,9.07,9.07,75202011
Total Fat (g),g,0.5,0.5,75202011
"Fiber, total dietary (g)",g,2.5,2.5,75202011
Energy (kcal),kcal,50.1,50.1,75202011
Protein (g),g,2.42,2.42,75202012
Carbohydrate (g),g,8.53,8.53,75202012
Total Fat (g),g,0.36,0.36,75202012
"Fiber, total dietary (g)",g,4.07,4.07,75202012
Energy (kcal),kcal,47.0,47.0,75202012
Protein (g),g,3.21,3.21,75202013
Carbohydrate (g),g,10.13,10.13,75202013
Total Fat (g),g,0.34,0.34,75202013
"Fiber, total dietary (g)",g,2.93,2.93,75202013
Energy (kcal),kcal,56.4,56.4,75202013
Protein (g),g,3.19,3.19,75202020
Carbohydrate (g),g,7.8,7.8,75202020
Total Fat (g),g,0.33,0.33,75202020
"Fiber, total dietary (g)",g,3.93,3.93,75202020
Energy (kcal),kcal,46.9,46.9,75202020
Protein (g),g,2.18,2.18,75202021
Carbohydrate (g),g,6.88,6.88,75202021
Total Fat (g),g,0.49,0.49,75202021
"Fiber, total dietary (g)",g,2.79,2.79,75202021
Energy (kcal),kcal,40.7,40.7,75202021
Protein (g),g,1.85,1.85,75202022
Carbohydrate (g),g,6.89,6.89,75202022
Total Fat (g),g,0.43,0.43,75202022
"Fiber, total dietary (g)",g,2.71,2.71,75202022
Energy (kcal),kcal,38.8,38.8,75202022
Protein (g),g,2.46,2.46,75202023
Carbohydrate (g),g,8.61,8.61,75202023
Total Fat (g),g,0.48,0.48,75202023
"Fiber, total dietary (g)",g,2.93,2.93,75202023
Energy (kcal),kcal,48.6,48.6,75202023
Protein (g),g,2.98,2.98,75202027
Carbohydrate (g),g,6.73,6.73,75202027
Total Fat (g),g,0.44,0.44,75202027
"Fiber, total dietary (g)",g,3.35,3.35,75202027
Energy (kcal),kcal,42.8,42.8,75202027
Protein (g),g,1.92,1.92,75202028
Carbohydrate (g),g,9.03,9.03,75202028
Total Fat (g),g,0.33,0.33,75202028
"Fiber, total dietary (g)",g,2.82,2.82,75202028
Energy (kcal),kcal,46.8,46.8,75202028
Protein (g),g,2.29,2.29,75202031
Carbohydrate (g),g,8.74,8.74,75202031
Total Fat (g),g,0.34,0.34,75202031
"Fiber, total dietary (g)",g,2.84,2.84,75202031
Energy (kcal),kcal,47.2,47.2,75202031
Protein (g),g,1.76,1.76,75202032
Carbohydrate (g),g,7.86,7.86,75202032
Total Fat (g),g,0.38,0.38,75202032
"Fiber, total dietary (g)",g,2.94,2.94,75202032
Energy (kcal),kcal,41.9,41.9,75202032
Protein (g),g,1.83,1.83,75202034
Carbohydrate (g),g,7.66,7.66,75202034
Total Fat (g),g,0.47,0.47,75202034
"Fiber, total dietary (g)",g,3.95,3.95,75202034
Energy (kcal),kcal,42.2,42.2,75202034
Protein (g),g,3.04,3.04,75202035
Carbohydrate (g),g,5.65,5.65,75202035
Total Fat (g),g,0.51,0.51,75202035
"Fiber, total dietary (g)",g,3.17,3.17,75202035
Energy (kcal),kcal,39.4,39.4,75202035
Protein (g),g,3.24,3.24,75203028
Carbohydrate (g),g,6.81,6.81,75203028
Total Fat (g),g,0.39,0.39,75203028
"Fiber, total dietary (g)",g,3.19,3.19,75203028
Energy (kcal),kcal,43.7,43.7,75203028
Protein (g),g,2.28,2.28,75204012
Carbohydrate (g),g,9.64,9.64,75204012
Total Fat (g),g,0.46,0.46,75204012
"Fiber, total dietary (g)",g,4.53,4.53,75204012
Energy (kcal),kcal,51.8,51.8,75204012
Protein (g),g,2.67,2.67,75204022
Carbohydrate (g),g,7.82,7.82,75204022
Total Fat (g),g,0.3,0.3,75204022
"Fiber, total dietary (g)",g,4.54,4.54,75204022
Energy (kcal),kcal,44.7,44.7,75204022
Protein (g),g,2.58,2.58,75204023
Carbohydrate (g),g,8.96,8.96,75204023
Total Fat (g),g,0.38,0.38,75204023
"Fiber, total dietary (g)",g,3.6,3.6,75204023
Energy (kcal),kcal,49.6,49.6,75204023
Protein (g),g,3.16,3.16,75205005
Carbohydrate (g),g,6.4,6.4,75205005
Total Fat (g),g,0.35,0.35,75205005
"Fiber, total dietary (g)",g,2.77,2.77,75205005
Energy (kcal),kcal,41.4,41.4,75205005
Protein (g),g,2.94,2.94,75205021
Carbohydrate (g),g,5.9,5.9,75205021
Total Fat (g),g,0.3,0.3,75205021
"Fiber, total dietary (g)",g,3.08,3.08,75205021
Energy (kcal),kcal,38.1,38.1,75205021
Protein (g),g,2.52,2.52,75205022
Carbohydrate (g),g,7.55,7.55,75205022
Total Fat (g),g,0.29,0.29,75205022
"Fiber, total dietary (g)",g,4.46,4.46,75205022
Energy (kcal),kcal,42.9,42.9,75205022
Protein (g),g,3.18,3.18,75205023
Carbohydrate (g),g,6.94,6.94,75205023
Total Fat (g),g,0.46,0.46,75205023
"Fiber, total dietary (g)",g,3.67,3.67,75205023
Energy (kcal),kcal,44.6,44.6,75205023
Protein (g),g,2.11,2.11,75205030
Carbohydrate (g),g,6.86,6.86,75205030
Total Fat (g),g,0.4,0.4,75205030
"Fiber, total dietary (g)",g,3.33,3.33,75205030
Energy (kcal),kcal,39.5,39.5,75205030
Protein (g),g,2.19,2.19,75205031
Carbohydrate (g),g,9.48,9.48,75205031
Total Fat (g),g,0.4,0.4,75205031
"Fiber, total dietary (g)",g,3.83,3.83,75205031
Energy (kcal),kcal,50.3,50.3,75205031
Protein (g),g,2.03,2.03,75205032
Carbohydrate (g),g,8.16,8.16,75205032
Total Fat (g),g,0.36,0.36,75205032
"Fiber, total dietary (g)",g,3.56,3.56,75205032
Energy (kcal),kcal,44.0,44.0,75205032
Protein (g),g,2.92,2.92,75205033
Carbohydrate (g),g,9.29,9.29,75205033
Total Fat (g),g,0.37,0.37,75205033
"Fiber, total dietary (g)",g,3.91,3.91,75205033
Energy (kcal),kcal,52.2,52.2,75205033
Protein (g),g,3.16,3.16,75205044
Carbohydrate (g),g,8.6,8.6,75205044
Total Fat (g),g,0.32,0.32,75205044
"Fiber, total dietary (g)",g,3.88,3.88,75205044
Energy (kcal),kcal,49.9,49.9,75205044
Protein (g),g,1.91,1.91,75205045
Carbohydrate (g),g,9.79,9.79,75205045
Total Fat (g),g,0.4,0.4,75205045
"Fiber, total dietary (g)",g,3.26,3.26,75205045
Energy (kcal),kcal,50.4,50.4,75205045
Protein (g),g,1.84,1.84,75205047
Carbohydrate (g),g,7.43,7.43,75205047
Total Fat (g),g,0.5,0.5,75205047
"Fiber, total dietary (g)",g,2.49,2.49,75205047
Energy (kcal),kcal,41.6,41.6,75205047
Protein (g),g,2.46,2.46,75205048
Carbohydrate (g),g,10.07,10.07,75205048
Total Fat (g),g,0.37,0.37,75205048
"Fiber, total dietary (g)",g,3.35,3.35,75205048
Energy (kcal),kcal,53.5,53.5,75205048
Protein (g),g,2.62,2.62,75205050
Carbohydrate (g),g,7.82,7.82,75205050
Total Fat (g),g,0.32,0.32,75205050
"Fiber, total dietary (g)",g,2.49,2.49,75205050
Energy (kcal),kcal,44.6,44.6,75205050
Protein (g),g,2.66,2.66,75205051
Carbohydrate (g),g,10.02,10.02,75205051
Total Fat (g),g,0.31,0.31,75205051
"Fiber, total dietary (g)",g,2.89,2.89,75205051
Energy (kcal),kcal,53.5,53.5,75205051
Protein (g),g,2.31,2.31,75205120
Carbohydrate (g),g,9.48,9.48,75205120
Total Fat (g),g,0.34,0.34,75205120
"Fiber, total dietary (g)",g,4.3,4.3,75205120
Energy (kcal),kcal,50.2,50.2,75205120
Protein (g),g,1.83,1.83,75205130
Carbohydrate (g),g,10.12,10.12,75205130
Total Fat (g),g,0.41,0.41,75205130
"Fiber, total dietary (g)",g,3.83,3.83,75205130
Energy (kcal),kcal,51.5,51.5,75205130
Protein (g),g,2.3,2.3,75205131
Carbohydrate (g),g,9.35,9.35,75205131
Total Fat (g),g,0.32,0.32,75205131
"Fiber, total dietary (g)",g,2.55,2.55,75205131
Energy (kcal),kcal,49.5,49.5,75205131
Protein (g),g,2.34,2.34,75205132
Carbohydrate (g),g,9.7,9.7,75205132
Total Fat (g),g,0.46,0.46,75205132
"Fiber, total dietary (g)",g,3.54,3.54,75205132
Energy (kcal),kcal,52.3,52.3,75205132
Protein (g),g,2.61,2.61,75205200
Carbohydrate (g),g,6.22,6.22,75205200
Total Fat (g),g,0.48,0.48,75205200
"Fiber, total dietary (g)",g,4.1,4.1,75205200
Energy (kcal),kcal,39.6,39.6,75205200
Protein (g),g,2.73,2.73,75206020
Carbohydrate (g),g,7.84,7.84,75206020
Total Fat (g),g,0.51,0.51,75206020
"Fiber, total dietary (g)",g,4.3,4.3,75206020
Energy (kcal),kcal,46.9,46.9,75206020
Protein (g),g,2.72,2.72,75207021
Carbohydrate (g),g,7.38,7.38,75207021
Total Fat (g),g,0.43,0.43,75207021
"Fiber, total dietary (g)",g,3.66,3.66,75207021
Energy (kcal),kcal,44.3,44.3,75207021
Protein (g),g,2.34,2.34,75208011
Carbohydrate (g),g,7.07,7.07,75208011
Total Fat (g),g,0.38,0.38,75208011
"Fiber, total dietary (g)",g,3.66,3.66,75208011
Energy (kcal),kcal,41.1,41.1,75208011
Protein (g),g,2.39,2.39,75208013
Carbohydrate (g),g,6.87,6.87,75208013
Total Fat (g),g,0.46,0.46,75208013
"Fiber, total dietary (g)",g,3.57,3.57,75208013
Energy (kcal),kcal,41.2,41.2,75208013
Protein (g),g,1.85,1.85,75208020
Carbohydrate (g),g,7.37,7.37,75208020
Total Fat (g),g,0.49,0.49,75208020
"Fiber, total dietary (g)",g,4.04,4.04,75208020
Energy (kcal),kcal,41.3,41.3,75208020
Protein (g),g,2.23,2.23,75208021
Carbohydrate (g),g,10.1,10.1,75208021
Total Fat (g),g,0.3,0.3,75208021
"Fiber, total dietary (g)",g,4.47,4.47,75208021
Energy (kcal),kcal,52.0,52.0,75208021
Protein (g),g,2.12,2.12,75208023
Carbohydrate (g),g,5.64,5.64,75208023
Total Fat (g),g,0.38,0.38,75208023
"Fiber, total dietary (g)",g,3.2,3.2,75208023
Energy (kcal),kcal,34.5,34.5,75208023
Protein (g),g,2.56,2.56,75208110
Carbohydrate (g),g,9.42,9.42,75208110
Total Fat (g),g,0.48,0.48,75208110
"Fiber, total dietary (g)",g,3.29,3.29,75208110
Energy (kcal),kcal,52.2,52.2,75208110
Protein (g),g,2.39,2.39,75208310
Carbohydrate (g),g,6.31,6.31,75208310
Total Fat (g),g,0.29,0.29,75208310
"Fiber, total dietary (g)",g,3.8,3.8,75208310
Energy (kcal),kcal,37.4,37.4,75208310
Protein (g),g,1.85,1.85,75208501
Carbohydrate (g),g,9.12,9.12,75208501
Total Fat (g),g,0.41,0.41,75208501
"Fiber, total dietary (g)",g,2.87,2.87,75208501
Energy (kcal),kcal,47.6,47.6,75208501
Protein (g),g,2.56,2.56,75208720
Carbohydrate (g),g,6.48,6.48,75208720
Total Fat (g),g,0.39,0.39,75208720
"Fiber, total dietary (g)",g,4.13,4.13,75208720
Energy (kcal),kcal,39.7,39.7,75208720
Protein (g),g,2.44,2.44,75209011
Carbohydrate (g),g,6.31,6.31,75209011
Total Fat (g),g,0.45,0.45,75209011
"Fiber, total dietary (g)",g,2.84,2.84,75209011
Energy (kcal),kcal,39.0,39.0,75209011
Protein (g),g,2.86,2.86,75209012
Carbohydrate (g),g,7.9,7.9,75209012
Total Fat (g),g,0.39,0.39,75209012
"Fiber, total dietary (g)",g,4.24,4.24,75209012
Energy (kcal),kcal,46.5,46.5,75209012
Protein (g),g,2.81,2.81,75209020
Carbohydrate (g),g,5.76,5.76,75209020
Total Fat (g),g,0.35,0.35,75209020
"Fiber, total dietary (g)",g,4.28,4.28,75209020
Energy (kcal),kcal,37.4,37.4,75209020
Protein (g),g,1.78,1.78,75209021
Carbohydrate (g),g,8.22,8.22,75209021
Total Fat (g),g,0.45,0.45,75209021
"Fiber, total dietary (g)",g,3.76,3.76,75209021
Energy (kcal),kcal,44.0,44.0,75209021
Protein (g),g,2.89,2.89,75209022
Carbohydrate (g),g,9.08,9.08,75209022
Total Fat (g),g,0.45,0.45,75209022
"Fiber, total dietary (g)",g,4.18,4.18,75209022
Energy (kcal),kcal,51.9,51.9,75209022
Protein (g),g,2.72,2.72,75209501
Carbohydrate (g),g,7.53,7.53,75209501
Total Fat (g),g,0.39,0.39,75209501
"Fiber, total dietary (g)",g,3.96,3.96,75209501
Energy (kcal),kcal,44.5,44.5,75209501
Protein (g),g,3.06,3.06,75210010
Carbohydrate (g),g,6.91,6.91,75210010
Total Fat (g),g,0.36,0.36,75210010
"Fiber, total dietary (g)",g,4.4,4.4,75210010
Energy (kcal),kcal,43.1,43.1,75210010
Protein (g),g,2.62,2.62,75210020
Carbohydrate (g),g,6.46,6.46,75210020
Total Fat (g),g,0.44,0.44,75210020
"Fiber, total dietary (g)",g,4.53,4.53,75210020
Energy (kcal),kcal,40.3,40.3,75210020
Protein (g),g,2.99,2.99,75211020
Carbohydrate (g),g,9.18,9.18,75211020
Total Fat (g),g,0.33,0.33,75211020
"Fiber, total dietary (g)",g,4.29,4.29,75211020
Energy (kcal),kcal,51.6,51.6,75211020
Protein (g),g,2.54,2.54,75211030
Carbohydrate (g),g,9.87,9.87,75211030
Total Fat (g),g,0.36,0.36,75211030
"Fiber, total dietary (g)",g,2.58,2.58,75211030
Energy (kcal),kcal,52.9,52.9,75211030
Protein (g),g,2.46,2.46,75211031
Carbohydrate (g),g,6.9,6.9,75211031
Total Fat (g),g,0.45,0.45,75211031
"Fiber, total dietary (g)",g,4.46,4.46,75211031
Energy (kcal),kcal,41.5,41.5,75211031
Protein (g),g,2.79,2.79,75211032
Carbohydrate (g),g,9.86,9.86,75211032
Total Fat (g),g,0.39,0.39,75211032
"Fiber, total dietary (g)",g,4.07,4.07,75211032
Energy (kcal),kcal,54.1,54.1,75211032
Protein (g),g,3.01,3.01,75212020
Carbohydrate (g),g,9.01,9.01,75212020
Total Fat (g),g,0.4,0.4,75212020
"Fiber, total dietary (g)",g,3.76,3.76,75212020
Energy (kcal),kcal,51.7,51.7,75212020
Protein (g),g,2.8,2.8,75213020
Carbohydrate (g),g,6.81,6.81,75213020
Total Fat (g),g,0.47,0.47,75213020
"Fiber, total dietary (g)",g,4.45,4.45,75213020
Energy (kcal),kcal,42.7,42.7,75213020
Protein (g),g,2.45,2.45,75213110
Carbohydrate (g),g,8.97,8.97,75213110
Total Fat (g),g,0.46,0.46,75213110
"Fiber, total dietary (g)",g,3.84,3.84,75213110
Energy (kcal),kcal,49.8,49.8,75213110
Protein (g),g,2.57,2.57,75213120
Carbohydrate (g),g,9.83,9.83,75213120
Total Fat (g),g,0.39,0.39,75213120
"Fiber, total dietary (g)",g,2.58,2.58,75213120
Energy (kcal),kcal,53.1,53.1,75213120
Protein (g),g,3.02,3.02,75214011
Carbohydrate (g),g,8.84,8.84,75214011
Total Fat (g),g,0.48,0.48,75214011
"Fiber, total dietary (g)",g,2.74,2.74,75214011
Energy (kcal),kcal,51.8,51.8,75214011
Protein (g),g,1.8,1.8,75214012
Carbohydrate (g),g,10.08,10.08,75214012
Total Fat (g),g,0.32,0.32,75214012
"Fiber, total dietary (g)",g,4.15,4.15,75214012
Energy (kcal),kcal,50.4,50.4,75214012
Protein (g),g,2.98,2.98,75214020
Carbohydrate (g),g,9.0,9.0,75214020
Total Fat (g),g,0.31,0.31,75214020
"Fiber, total dietary (g)",g,3.85,3.85,75214020
Energy (kcal),kcal,50.7,50.7,75214020
Protein (g),g,3.08,3.08,75214021
Carbohydrate (g),g,7.64,7.64,75214021
Total Fat (g),g,0.38,0.38,75214021
"Fiber, total dietary (g)",g,3.38,3.38,75214021
Energy (kcal),kcal,46.3,46.3,75214021
Protein (g),g,1.87,1.87,75214022
Carbohydrate (g),g,9.88,9.88,75214022
Total Fat (g),g,0.49,0.49,75214022
"Fiber, total dietary (g)",g,4.55,4.55,75214022
Energy (kcal),kcal,51.4,51.4,75214022
Protein (g),g,2.63,2.63,75214027
Carbohydrate (g),g,9.21,9.21,75214027
Total Fat (g),g,0.33,0.33,75214027
"Fiber, total dietary (g)",g,3.85,3.85,75214027
Energy (kcal),kcal,50.3,50.3,75214027
Protein (g),g,2.72,2.72,75214028
Carbohydrate (g),g,9.93,9.93,75214028
Total Fat (g),g,0.48,0.48,75214028
"Fiber, total dietary (g)",g,4.42,4.42,75214028
Energy (kcal),kcal,54.9,54.9,75214028
Protein (g),g,3.05,3.05,75214030
Carbohydrate (g),g,9.77,9.77,75214030
Total Fat (g),g,0.3,0.3,75214030
"Fiber, total dietary (g)",g,4.23,4.23,75214030
Energy (kcal),kcal,54.0,54.0,75214030
Protein (g),g,2.66,2.66,75214031
Carbohydrate (g),g,7.43,7.43,75214031
Total Fat (g),g,0.29,0.29,75214031
"Fiber, total dietary (g)",g,3.87,3.87,75214031
Energy (kcal),kcal,43.0,43.0,75214031
Protein (g),g,2.24,2.24,75215020
Carbohydrate (g),g,7.85,7.85,75215020
Total Fat (g),g,0.44,0.44,75215020
"Fiber, total dietary (g)",g,4.36,4.36,75215020
Energy (kcal),kcal,44.3,44.3,75215020
Protein (g),g,2.99,2.99,75215120
Carbohydrate (g),g,7.76,7.76,75215120
Total Fat (g),g,0.37,0.37,75215120
"Fiber, total dietary (g)",g,2.95,2.95,75215120
Energy (kcal),kcal,46.3,46.3,75215120
Protein (g),g,2.31,2.31,75215511
Carbohydrate (g),g,6.13,6.13,75215511
Total Fat (g),g,0.51,0.51,75215511
"Fiber, total dietary (g)",g,3.66,3.66,75215511
Energy (kcal),kcal,38.3,38.3,75215511
Protein (g),g,1.94,1.94,75215990
Carbohydrate (g),g,7.29,7.29,75215990
Total Fat (g),g,0.41,0.41,75215990
"Fiber, total dietary (g)",g,3.57,3.57,75215990
Energy (kcal),kcal,40.6,40.6,75215990
Protein (g),g,1.8,1.8,75216111
Carbohydrate (g),g,10.16,10.16,75216111
Total Fat (g),g,0.35,0.35,75216111
"Fiber, total dietary (g)",g,2.48,2.48,75216111
Energy (kcal),kcal,51.0,51.0,75216111
Protein (g),g,1.86,1.86,75216112
Carbohydrate (g),g,8.38,8.38,75216112
Total Fat (g),g,0.31,0.31,75216112
"Fiber, total dietary (g)",g,2.54,2.54,75216112
Energy (kcal),kcal,43.8,43.8,75216112
Protein (g),g,2.32,2.32,75216113
Carbohydrate (g),g,8.59,8.59,75216113
Total Fat (g),g,0.31,0.31,75216113
"Fiber, total dietary (g)",g,3.11,3.11,75216113
Energy (kcal),kcal,46.4,46.4,75216113
Protein (g),g,2.38,2.38,75216120
Carbohydrate (g),g,6.37,6.37,75216120
Total Fat (g),g,0.4,0.4,75216120
"Fiber, total dietary (g)",g,2.63,2.63,75216120
Energy (kcal),kcal,38.6,38.6,75216120
Protein (g),g,1.82,1.82,75216121
Carbohydrate (g),g,8.1,8.1,75216121
Total Fat (g),g,0.34,0.34,75216121
"Fiber, total dietary (g)",g,2.65,2.65,75216121
Energy (kcal),kcal,42.7,42.7,75216121
Protein (g),g,2.39,2.39,75216122
Carbohydrate (g),g,9.99,9.99,75216122
Total Fat (g),g,0.45,0.45,75216122
"Fiber, total dietary (g)",g,4.16,4.16,75216122
Energy (kcal),kcal,53.6,53.6,75216122
Protein (g),g,3.06,3.06,75216123
Carbohydrate (g),g,10.27,10.27,75216123
Total Fat (g),g,0.46,0.46,75216123
"Fiber, total dietary (g)",g,3.73,3.73,75216123
Energy (kcal),kcal,57.5,57.5,75216123
Protein (g),g,2.3,2.3,75216134
Carbohydrate (g),g,6.47,6.47,75216134
Total Fat (g),g,0.44,0.44,75216134
"Fiber, total dietary (g)",g,4.54,4.54,75216134
Energy (kcal),kcal,39.0,39.0,75216134
Protein (g),g,2.45,2.45,75216135
Carbohydrate (g),g,9.07,9.07,75216135
Total Fat (g),g,0.4,0.4,75216135
"Fiber, total dietary (g)",g,3.36,3.36,75216135
Energy (kcal),kcal,49.7,49.7,75216135
Protein (g),g,2.37,2.37,75216137
Carbohydrate (g),g,8.02,8.02,75216137
Total Fat (g),g,0.37,0.37,75216137
"Fiber, total dietary (g)",g,4.02,4.02,75216137
Energy (kcal),kcal,44.9,44.9,75216137
Protein (g),g,3.06,3.06,75216138
Carbohydrate (g),g,9.84,9.84,75216138
Total Fat (g),g,0.33,0.33,75216138
"Fiber, total dietary (g)",g,4.33,4.33,75216138
Energy (kcal),kcal,54.6,54.6,75216138
Protein (g),g,2.26,2.26,75216141
Carbohydrate (g),g,7.08,7.08,75216141
Total Fat (g),g,0.45,0.45,75216141
"Fiber, total dietary (g)",g,3.09,3.09,75216141
Energy (kcal),kcal,41.4,41.4,75216141
Protein (g),g,1.83,1.83,75216142
Carbohydrate (g),g,7.39,7.39,75216142
Total Fat (g),g,0.45,0.45,75216142
"Fiber, total dietary (g)",g,3.14,3.14,75216142
Energy (kcal),kcal,40.9,40.9,75216142
Protein (g),g,2.69,2.69,75216153
Carbohydrate (g),g,8.77,8.77,75216153
Total Fat (g),g,0.46,0.46,75216153
"Fiber, total dietary (g)",g,4.33,4.33,75216153
Energy (kcal),kcal,50.0,50.0,75216153
Protein (g),g,2.4,2.4,75216310
Carbohydrate (g),g,6.4,6.4,75216310
Total Fat (g),g,0.36,0.36,75216310
"Fiber, total dietary (g)",g,3.36,3.36,75216310
Energy (kcal),kcal,38.4,38.4,75216310
Protein (g),g,2.82,2.82,75216320
Carbohydrate (g),g,5.66,5.66,75216320
Total Fat (g),g,0.36,0.36,75216320
"Fiber, total dietary (g)",g,4.09,4.09,75216320
Energy (kcal),kcal,37.2,37.2,75216320
Protein (g),g,2.76,2.76,75216321
Carbohydrate (g),g,9.11,9.11,75216321
Total Fat (g),g,0.47,0.47,75216321
"Fiber, total dietary (g)",g,4.09,4.09,75216321
Energy (kcal),kcal,51.7,51.7,75216321
Protein (g),g,2.77,2.77,75216322
Carbohydrate (g),g,7.71,7.71,75216322
Total Fat (g),g,0.52,0.52,75216322
"Fiber, total dietary (g)",g,3.65,3.65,75216322
Energy (kcal),kcal,46.6,46.6,75216322
Protein (g),g,2.05,2.05,75216720
Carbohydrate (g),g,7.01,7.01,75216720
Total Fat (g),g,0.45,0.45,75216720
"Fiber, total dietary (g)",g,4.39,4.39,75216720
Energy (kcal),kcal,40.3,40.3,75216720
Protein (g),g,2.02,2.02,75217010
Carbohydrate (g),g,6.0,6.0,75217010
